Type,Built,Status,Company,Group Company,Operator,Builder,Flag State,SOx Scrubber Status,Power Type,Current Global Zone,Current National Waters,Name,GT,Dwt,MMSI (Maritime Mobile Service Identity),IMO Number,Speed (knots),Engine Derived Total Main Engine Mechanical kW
Bulk Carrier,2005,In Service,Pacific Basin Shpg,Pacific Basin Shpg,Pacific Basin Shpg,Mitsui SB (Tamano),Hong Kong,Fitted,Diesel 2-Stroke,South East Asia,Vietnam,Swan River,"31,275","56,025",477220600,9302841,14.00,"9,480"
Fully Cellular Container,2022,In Service,CULines,CULines,CULines,Huangpu Wenchong,Hong Kong,Fitted,Diesel 2-Stroke,South East Asia,,CUL Nansha,"18,461","24,000",477809800,9935947,15.00,"14,940"
Tanker,2010,In Service,New Shipping,New Shipping,New Shipping,Bohai Shipbuilding,Panama,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Italy,New Liberty,"86,990","164,028",352003631,9411082,12.50,"18,660"
Ro-Ro,2013,In Service,DFDS Denizcilik,DFDS,DFDS Denizcilik,Flensburger SB,Turkey,Fitted,Diesel 4-Stroke,Mediterranean / Black Sea,Croatia,Pergamon Seaways,"31,540","13,230",271043303,9506277,20.60,"18,400"
Fully Cellular Container,2010,In Service,Asyad Shipping,Asyad Shipping,Asyad Shipping,Shanghai Shipyard,Marshall Is.,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Wadi Duka,"35,998","41,974",538010776,9419785,23.50,"31,990"
Ore Carrier,2019,In Service,Polaris Shipping,Polaris Shipping,Vale,Hyundai HI (Ulsan),Marshall Is.,Fitted,Diesel 2-Stroke,East Coast Africa,,Sao Fabian,"160,290","326,031",538008305,9822279,14.50,"23,390"
Bulk Carrier,2004,In Service,Marmaras Navigation,Marmaras Navigation,Marmaras Navigation,Hyundai Samho HI,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Cyclades,"87,137","170,050",636021947,9268485,14.25,"16,860"
Bulk Carrier,2015,In Service,Oldendorff Carriers,Oldendorff Carriers,Oldendorff Carriers,Hyundai HI (Gunsan),Madeira,Fitted,Diesel 2-Stroke,Australasia,,Leopold Oldendorff,"107,413","207,562",255805612,9691943,16.40,"16,200"
Cruise Ship,1996,In Service,Carnival Cruise Line,Carnival Corporation,Carnival Cruise Line,Fincantieri Monfalco,Bahamas,Fitted,Diesel Electric,East Coast North America,,Carnival Sunshine,"101,353","11,142",308017000,9070058,23.00,"63,360"
Product Carrier,2019,In Service,Advantage Tankers,Advantage Tankers,Advantage Tankers,Jiangsu Hantong HI,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast Africa,Togo,Advantage Padova,"46,509","75,111",538010649,9794848,12.00,"9,446"
Bulk Carrier,2007,In Service,Chinaland Shipping,Chinaland Shipping,Chinaland Shipping,Imabari SB Saijo,Singapore,Pending,Diesel 2-Stroke,East Asia,,Chinafrie Prosperity,"104,721","206,254",563247800,9406491,14.50,"18,660"
Fully Cellular Container,2006,In Service,MSC,MSC,MSC,Hyundai Mipo,Liberia,Pending,Diesel 2-Stroke,Mediterranean / Black Sea,Egypt,MSC Harmony III,"27,789","39,421",636019289,9309411,22.30,"25,270"
Ore Carrier,2020,In Service,SK Shipping,SK Shipping,Vale,Dalian Shipbuilding,Panama,Fitted,Diesel 2-Stroke,East Asia,,K. Iron Mountain,"173,756","324,966",354488000,9850111,13.30,"21,000"
Bulk Carrier,2008,In Service,Asahi Shipping,NYK Line,Asahi Shipping,Imabari SB Marugame,Marshall Is.,Fitted,Diesel 2-Stroke,South East Asia,,JP Caretta,"48,022","88,083",538008992,9442835,14.30,"12,240"
Pass./Car Ferry,1993,Idle,Grandi Navi Veloci,MSC,,Nuovi Cant. Apuania,Italy,Fitted,Diesel 4-Stroke,Mediterranean / Black Sea,Malta,Majestic,"32,777","7,214",247142000,9015735,23.00,"23,037"
Fully Cellular Container,2020,In Service,Eastern Pacific Shpg,Eastern Pacific Shpg,CMA CGM,Hyundai Samho HI,Malta,Fitted,Diesel 2-Stroke,East Asia,,CMA CGM Brazil,"149,314","156,656",215352000,9860245,22.00,"46,360"
Bulk Carrier,2005,In Service,New Shipping,New Shipping,SwissMarine Pte Ltd,Universal SB (Tsu),Panama,Fitted,Diesel 2-Stroke,East Coast Africa,,Captain Leonidas,"101,933","203,095",356611000,9271561,14.70,"16,861"
Fully Cellular Container,2022,In Service,CULines,CULines,CULines,Huangpu Wenchong,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,CUL Bangkok,"18,498","24,000",477846300,9941805,15.00,"14,940"
Tanker,2008,In Service,Dynacom Tankers Mgmt,Dynacom,Dynacom Tankers Mgmt,Universal SB (Tsu),Liberia,Fitted,Diesel 2-Stroke,Middle East,Saudi Arabia,Gladiator,"78,845","149,944",636013351,9378864,16.00,"16,440"
Bulk Carrier,2011,In Service,Blue Dolphin,Blue Dolphin,Blue Dolphin,Hyundai HI (Gunsan),Liberia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,ESL Dolphin,"93,228","179,527",636019420,9520716,15.30,"18,660"
Tanker,2009,In Service,Tsakos Energy Nav,Tsakos Group,Jellicoe Tankers,Sumitomo (Yokosuka),Greece,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Egypt,Asahi Princess,"55,909","105,361",240944000,9411197,15.30,"12,350"
Chemical & Oil Carrier,2020,In Service,DSD Shipping AS,DSD,Maersk Tankers,Hyundai Vietnam SB,Norwegian Int'l,Fitted,Diesel 2-Stroke,East Coast Africa,,Stavanger Pearl,"29,671","49,999",257447000,9839090,14.50,"7,180"
Product Carrier,2004,In Service,Jie Sheng,Jie Sheng,Jie Sheng,Hyundai HI (Ulsan),Panama,Fitted,Diesel 2-Stroke,East Asia,Taiwan,Concord Serenity,"42,484","74,999",352001123,9277785,16.70,"13,560"
Fully Cellular Container,2023,In Service,Eastern Pacific Shpg,Eastern Pacific Shpg,CMA CGM,New Times SB,Malta,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Spain,CMA CGM Exemplarity,"72,960","84,885",256485000,9948229,18.00,"26,280"
Bulk Carrier,2009,In Service,Five Stars Shpg.,Five Stars Shpg.,Five Stars Shpg.,Sungdong SB,India,Fitted,Diesel 2-Stroke,East Coast South America,Brazil,Maha Anosha,"88,397","169,056",419000348,9425473,14.60,"14,330"
Ore Carrier,2019,In Service,China Ore Shipping,China COSCO Shipping,Vale,Shanghai Waigaoqiao,Singapore,Fitted,Diesel 2-Stroke,South East Asia,Philippines,Yuan Hua Hai,"203,353","398,441",563093200,9806940,14.50,"24,200"
Bulk Carrier,2009,In Service,Ocean Treasure Shpg,Ocean Treasure Shpg,Ocean Treasure Shpg,SCS Shipbuilding,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,Guinea,OTSL Hera,"91,407","177,729",636024339,9539602,15.00,"16,849"
Bulk Carrier,2012,In Service,Oldendorff Carriers,Oldendorff Carriers,Oldendorff Carriers,Jiangnan Changxing,Liberia,Fitted,Diesel 2-Stroke,Australasia,Australia,Paul Oldendorff,"64,769","115,340",636092156,9540871,14.50,"13,560"
Bulk Carrier,2020,In Service,Golden Ocean Group,Fredriksen Group,Golden Ocean Group,Bohai Shipbuilding,Marshall Is.,Fitted,Diesel 2-Stroke,Australasia,Australia,Golden Skies,"109,716","210,897",538008773,9847970,14.20,"17,500"
Bulk Carrier,2010,In Service,CMG Invst Dev HK,China Merchants,CMG Invst Dev HK,Dalian Shipbuilding,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Great Han,"94,710","180,423",477961100,9445332,14.50,"18,651"
Cruise Ship,1997,Repairs,P&O Australia,Carnival Corporation,P&O Australia,Fincantieri Monfalco,United Kingdom,Fitted,Diesel Electric,South East Asia,Singapore,Pacific Explorer,"77,441","8,293",232006603,9103996,21.40,"46,078"
Chemical & Oil Carrier,2019,In Service,Top Ships,Top Ships,Norden Tanker Pools,Hyundai Mipo,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast Africa,,Eco Marina Del Rey,"29,994","50,314",538008150,9798349,14.94,"7,180"
Tanker,2005,In Service,Westanker Deniz,Westanker Deniz,Westanker Deniz,Samsung HI,Panama,Fitted,Diesel 2-Stroke,Middle East,,Cauveri,"63,462","113,782",352002074,9282508,15.70,"15,820"
Product Carrier,2022,In Service,Chandris (Hellas),Chandris Group,Chandris (Hellas),Daehan Shipbuilding,Greece,Fitted,Diesel 2-Stroke,East Asia,,Althea,"62,969","115,194",241808000,9930117,14.00,"11,000"
Chemical Bulk Tanker,2009,In Service,Union Commercial,Union Maritime,Union Commercial,TVK Shipyard,Marshall Is.,Fitted,Diesel 4-Stroke,West Coast Africa,,BDP Spirit,"8,816","15,203",538009703,9424053,14.00,"6,000"
Bulk Carrier,2010,In Service,Fortune Ocean Shpg,Fortune Ocean Shpg,Fortune Ocean Shpg,Jiangsu Rongsheng,Hong Kong,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Cape Sun,"92,050","175,611",477691700,9546899,14.90,"16,849"
Chemical & Oil Carrier,2014,In Service,TORM A/S,TORM A/S,TORM A/S,Hyundai Mipo,Danish Int'l,Fitted,Diesel 2-Stroke,West Coast Africa,Ivory Coast,Torm Damini,"29,460","49,746",219641000,9682370,14.00,"7,700"
Chemical Parcel Tanker,2019,In Service,Ditas-Denizcilik,Ditas-Denizcilik,Ditas-Denizcilik,RMK Marine Shipyard,Turkey,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Turkey,T. Elinor,"12,274","15,976",271047046,9838993,14.00,"5,180"
Fully Cellular Container,2004,In Service,Matson Inc,Matson Inc,Matson Inc,Aker Philadelphia,United States,Fitted,Diesel 2-Stroke,West Coast North America,,Maunawili,"32,575","38,261",367438000,9268538,22.50,"28,880"
Fully Cellular Container,2023,In Service,Eastern Pacific Shpg,Eastern Pacific Shpg,CMA CGM,New Times SB,Malta,Fitted,Diesel 2-Stroke,West Coast South America,Ecuador,CMA CGM Better Ways,"72,960","84,885",256587000,9950557,21.50,"26,280"
Bulk Carrier,2012,In Service,Maran Dry Mngt,Angelicoussis Group,Maran Dry Mngt,STX SB (Jinhae),Greece,Fitted,Diesel 2-Stroke,Australasia,,Maran Virtue,"91,656","180,391",241197000,9440332,14.90,"18,651"
Tanker,2018,In Service,China VLCC,China Merchants,China VLCC,Dalian Shipbuilding,Hong Kong,Fitted,Diesel 2-Stroke,West Coast Africa,,New Assurance,"162,606","307,524",477191900,9799161,15.70,"24,270"
Tanker,2010,In Service,Dynacom Tankers Mgmt,Dynacom,Dynacom Tankers Mgmt,New Times SB,Liberia,Pending,Diesel 2-Stroke,Middle East,United Arab Emirates,Mount Fuji,"85,362","149,998",636014252,9509011,15.30,"18,660"
Bulk Carrier,2012,In Service,Peter Dohle,Peter Dohle,Peter Dohle,Jiangsu Rongsheng,Madeira,Fitted,Diesel 2-Stroke,East Coast South America,,Alba,"91,792","175,231",255915672,9493755,14.90,"16,849"
Ore Carrier,2020,In Service,Pan Ocean,Pan Ocean,Vale,New Times SB,Panama,Fitted,Diesel 2-Stroke,East Coast Africa,,Sea Rio De Janeiro,"173,504","324,264",354341000,9844083,14.60,"21,000"
Ore Carrier,2012,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Bohai Shipbuilding,Isle of Man,Fitted,Diesel 2-Stroke,East Coast South America,Brazil,Berge Jaya,"195,199","388,133",235092455,9447550,14.80,"29,400"
Cruise Ship,1998,In Service,Princess Cruises Inc,Carnival Corporation,Princess Cruises Inc,Fincantieri Monfalco,Bermuda,Fitted,Diesel Electric,West Coast North America,United States,Grand Princess,"107,517","8,418",310327000,9104005,22.50,"69,116"
Bulk Carrier,2020,Idle,Golden Ocean Group,Fredriksen Group,,New Times SB,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast South America,Peru,Golden Competence,"107,737","207,397",538008956,9856490,14.50,"14,912"
Fully Cellular Container,2005,In Service,Maersk,A.P. Moller,Maersk,I.H.I. (Kure),Singapore,Fitted,Diesel 2-Stroke,West Coast North America,,Maersk Sydney,"93,511","97,517",563000500,9289958,24.50,"39,000"
Tanker,2023,In Service,GNMTC,GNMTC,GNMTC,DH Shipbuilding,Liberia,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Kufra,"62,505","115,518",636023051,9935155,11.00,"13,000"
Chemical Parcel Tanker,2008,In Service,Alba Tankers,Alba Tankers,Alba Tank Sweden,Selah Shipyard,Danish Int'l,Fitted,Diesel 4-Stroke,United Kingdom/Continent,,Kattegat,"7,311","11,300",219222000,9432866,12.50,"4,317"
Tanker,2017,In Service,Dryships,Dryships,Dryships,Shanghai Waigaoqiao,Malta,Fitted,Diesel 2-Stroke,East Coast Africa,,Samsara,"82,870","159,855",249820000,9792228,15.00,"15,275"
Tanker,2016,In Service,China VLCC,China Merchants,China VLCC,Shanghai Waigaoqiao,Hong Kong,Fitted,Diesel 2-Stroke,East Coast Africa,,New Odyssey,"165,209","318,570",477430300,9708497,16.10,"25,360"
Ore Carrier,2021,In Service,H-Line Shipping,H-Line Shipping,Vale,Hyundai HI (Ulsan),Marshall Is.,Fitted,Diesel 2-Stroke,East Asia,,Sao Pearl,"172,521","324,690",538008869,9840477,14.00,"21,000"
Fully Cellular Container,2003,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Panama,Fitted,Diesel 2-Stroke,East Asia,,MSC Marina,"73,819","85,806",354972000,9275971,24.80,"57,099"
Fully Cellular Container,2002,In Service,MSC,MSC,MSC,Samsung HI,Liberia,Fitted,Diesel 2-Stroke,East Asia,,MSC Leo VI,"75,201","77,900",636017306,9229312,25.00,"62,593"
Reefer,2009,In Service,Philsynergy Maritime,Philsynergy Maritime,Philsynergy Maritime,Shikoku Dock.,Singapore,Fitted,Diesel 2-Stroke,West Coast Africa,,CS Pride,"14,030","13,189",566090000,9517915,21.00,"15,809"
Tanker,2019,In Service,China VLCC,China Merchants,China VLCC,Dalian Shipbuilding,Hong Kong,Fitted,Diesel 2-Stroke,South East Asia,Singapore,New Treasure,"163,327","307,105",477372400,9799214,15.70,"24,270"
Cruise Ship,2010,In Service,NCL,NCL Holdings,NCL,STX France,Bahamas,Fitted,Diesel Electric,East Coast North America,,Norwegian Epic,"155,873","10,850",311018500,9410569,22.00,"84,000"
Product Carrier,2019,In Service,Neda Maritime Agency,Neda Maritime Agency,Shell (SIETCO),Daehan Shipbuilding,Greece,Fitted,Diesel 2-Stroke,South East Asia,,Siena,"62,427","115,643",241836000,9833735,13.92,"13,450"
Tanker,2019,In Service,Olympic Shpg & Mgmt,Olympic Shpg & Mgmt,Olympic Shpg & Mgmt,Hyundai HI (Ulsan),Marshall Is.,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Olympic Lyra,"160,874","318,676",538008169,9831816,14.65,"24,500"
Fully Cellular Container,2010,Repairs,Quanzhou Ansheng,Antong Holdings,Maersk,Daewoo (DSME),China P.R.,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Ren Jian 26,"42,112","54,369",414365000,9450947,24.00,"36,560"
Pass./Car Ferry,1997,In Service,Adria Ferries,Adria Ferries,Adria Ferries,Fosen M.V.,Italy,Fitted,Diesel 4-Stroke,Mediterranean / Black Sea,,AF Mia,"29,968","5,797",247343200,9144811,27.00,"44,477"
Ore Carrier,2019,In Service,H-Line Shipping,H-Line Shipping,Vale,Hyundai Samho HI,Panama,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Netherlands,HL Mercury,"172,497","325,452",351907000,9845142,15.27,"21,000"
Fully Cellular Container,2004,In Service,Danaos Corp,Danaos Corp,MSC,Samsung HI,Cyprus,Fitted,Diesel 2-Stroke,South East Asia,,Europe,"90,645","101,612",212175000,9285988,23.00,"68,490"
Bulk Carrier,2012,In Service,Marmaras Navigation,Marmaras Navigation,Marmaras Navigation,Hyundai Vietnam SB,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Pegasos,"44,592","81,598",636017725,9624653,14.50,"10,100"
Ro-Ro/Container,2015,In Service,Grimaldi Group,Grimaldi Group,Grimaldi Group,Hyundai Mipo,Italy,Fitted,Diesel 2-Stroke,East Coast Africa,,Grande Abidjan,"71,543","30,801",247341700,9680712,20.20,"17,400"
Ore Carrier,2018,In Service,China Ore Shipping,China COSCO Shipping,Vale,Shanghai Waigaoqiao,Singapore,Fitted,Diesel 2-Stroke,South East Asia,,Yuan Yi Hai,"203,403","399,000",563065300,9806897,14.50,"24,200"
Fully Cellular Container,2015,In Service,K-Line,K-Line,ONE,Imabari SB Hiroshima,Singapore,Fitted,Diesel 2-Stroke,East Coast Africa,,ONE Manchester,"152,297","147,420",563131500,9706748,24.00,"48,900"
Bulk Carrier,2020,In Service,Maran Dry Mngt,Angelicoussis Group,Oldendorff Carriers,Shanghai Waigaoqiao,Greece,Fitted,Diesel 2-Stroke,East Coast Africa,,Maran Splendour,"109,631","210,000",241682000,9839868,14.50,"15,745"
Tanker,2005,In Service,Oceanlink DMCC,Oceanlink DMCC,Oceanlink DMCC,I.H.I. (Kure),Comoro Islands,Fitted,Diesel 2-Stroke,Middle East,Oman,Siri,"149,274","302,159",620999315,9281683,15.70,"22,680"
Pure Car Carrier,2005,In Service,Pasha Hawaii,The Pasha Group,Pasha Hawaii,VT Halter (Pasca),United States,Fitted,Diesel 2-Stroke,West Coast North America,,Jean Anne,"37,548","12,561",367003380,9233167,20.00,"11,060"
Fully Cellular Container,2012,In Service,PIL,PIL,PIL,Dalian Shipbuilding,Singapore,Fitted,Diesel 2-Stroke,West Coast South America,,Kota Cahaya,"76,097","84,700",563149800,9494589,25.60,"57,064"
Ore Carrier,2018,In Service,VLOC Holdings,ICBC,Vale,Yangzi Xinfu SB,Hong Kong,Fitted,Diesel 2-Stroke,East Coast South America,,Ore Hong Kong,"203,326","399,214",477162700,9815238,14.50,"24,200"
Tanker,2010,In Service,Delta Tankers,Marmaras Navigation,Delta Tankers,New Times SB,Liberia,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,Delta Spirit,"85,522","161,724",636018743,9419096,13.00,"18,660"
Tanker,2019,In Service,Frontline,Fredriksen Group,Frontline,Hyundai Samho HI,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,Front Discovery,"154,007","298,952",538008190,9830109,15.25,"33,250"
Tanker,2019,In Service,Sinokor Merchant,Sinokor Merchant,Gs-Caltex Corp,Hyundai Samho HI,Marshall Is.,Fitted,Diesel 2-Stroke,Indian Subcontinent,,V. Advance,"153,947","299,682",538008381,9845221,14.80,"24,500"
Bulk Carrier,2013,In Service,Formosa Plastics Co,Formosa Plastics,Formosa Plastics Co,JMU Tsu Shipyard,Liberia,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,FPMC B Luck,"106,385","206,391",636015476,9445227,14.00,"16,810"
Chemical & Oil Carrier,2011,In Service,TORM A/S,TORM A/S,TORM A/S,Hyundai Mipo,Danish Int'l,Fitted,Diesel 2-Stroke,East Coast North America,Mexico,Torm Singapore,"29,636","49,999",219254000,9434230,15.20,"9,480"
Fully Cellular Container,2004,In Service,JR Shipping BV,JR Shipping BV,Unifeeder,Daewoo-Mangalia,Netherlands,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Norway,Energizer,"7,642","9,450",245088000,9299501,16.00,"7,200"
Fully Cellular Container,2005,In Service,MSC,MSC,MSC,Samsung HI,Madeira,Pending,Diesel 2-Stroke,East Coast North America,United States,MSC New Haven,"90,449","106,936",255803670,9293777,25.20,"68,666"
Bulk Carrier,2013,In Service,Polembros Shipping,Polembros Shipping,Oldendorff Carriers,Shanghai Waigaoqiao,Liberia,Fitted,Diesel 2-Stroke,Australasia,,Mina Oldendorff,"106,847","206,118",636016034,9678795,15.00,"18,660"
Fully Cellular Container,2015,Idle,CMA CGM,CMA CGM,CMA CGM,Dalian Shipbuilding,Malta,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,CMA CGM Loire,"95,263","112,729",229947000,9674531,22.00,"47,430"
Product Carrier,2018,In Service,TORM A/S,TORM A/S,TORM A/S,GSI Nansha,Singapore,Fitted,Diesel 2-Stroke,East Coast North America,United States,Torm Hermia,"64,459","114,000",563047500,9797993,15.00,"11,494"
Product Carrier,2014,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Hyundai Samho HI,Marshall Is.,Fitted,Diesel 2-Stroke,East Asia,,STI Park,"64,705","109,999",538005386,9690793,14.50,"11,760"
Fully Cellular Container,2019,In Service,Seaspan Corporation,Atlas Corp (Seaspan),CMA CGM,Hyundai Samho HI,Malta,Fitted,Diesel 2-Stroke,East Asia,,CMA CGM Mexico,"149,314","156,656",215354000,9839911,22.00,"46,360"
Fully Cellular Container,2004,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,MSC Pratiti,"53,453","62,740",636016204,9280861,23.00,"41,130"
Fully Cellular Container,2002,In Service,Cyprus Sea Lines,Cyprus Sea Lines,MSC,I.H.I. (Kure),Cyprus,Fitted,Diesel 2-Stroke,East Asia,,MSC Apollo,"75,484","81,171",209559000,9247730,25.00,"61,350"
Bulk Carrier,2010,Idle,Star Bulk Carriers,Star Bulk Carriers,,Sinopacific Dayang,Marshall Is.,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Gannet Bulker,"33,045","57,809",538003902,9441300,13.00,"9,473"
Fully Cellular Container,2005,In Service,Samskip,Samskip,Samskip,J. J. Sietas,Faeroes,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Denmark,Arnarfell,"8,830","11,143",231355000,9306005,18.20,"8,279"
Tanker,2010,In Service,Maran Tankers Mgmt,Angelicoussis Group,Maran Tankers Mgmt,Hyundai HI (Ulsan),Greece,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Libya,Maran Poseidon,"81,100","158,795",240959000,9402926,16.00,"19,620"
LPG Carrier,2019,In Service,SK Shipping,SK Shipping,SK Shipping,Hyundai Samho HI,Liberia,Fitted,Diesel 2-Stroke,West Coast North America,,Matterhorn Explorer,"46,668","50,513",636020880,9847425,16.80,"13,500"
Fully Cellular Container,2002,In Service,Elbdeich Reederei,Elbdeich Reederei,Borchard Lines,J. J. Sietas,Antigua & B.,Fitted,Diesel 4-Stroke,United Kingdom/Continent,,Amelie Borchard,"9,990","11,367",305886000,9242560,18.00,"8,400"
Bulk Carrier,2009,In Service,Cardiff Marine,Cardiff Marine,Cardiff Marine,Hudong Zhonghua,Malta,Fitted,Diesel 2-Stroke,East Asia,South Korea,Striggla,"40,170","75,196",249620000,9465710,14.00,"8,990"
Fully Cellular Container,1998,Idle,MSC,MSC,MSC,Thyssen Nordsee,Liberia,Pending,Diesel 2-Stroke,Mediterranean / Black Sea,Croatia,MSC Alix 3,"24,499","34,600",636016014,9166651,21.00,"15,999"
Chemical & Oil Carrier,2005,In Service,Lindsay,Lindsay,Lindsay,STX SB (Jinhae),Hong Kong,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Adele,"30,018","46,187",477128500,9288021,14.50,"9,480"
Bulk Carrier,2006,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Tsuneishi Zosen,Marshall Is.,Fitted,Diesel 2-Stroke,South East Asia,Singapore,Star Gwyneth,"42,887","82,790",538006011,9301031,14.50,"11,000"
Bulk Carrier,2013,Idle,Algoma Central Corp,Algoma Central Corp,,Nantong Mingde HI,Canada,Fitted,Diesel 2-Stroke,East Coast North America,Canada,Algoma Equinox,"24,284","39,064",316009090,9613927,14.00,"6,929"
Bulk Carrier,2014,In Service,Sea Tribute Shpmngt,Sea Tribute Shpmngt,Sea Tribute Shpmngt,JMU Tsu Shipyard,Marshall Is.,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Sea Dawn,"43,291","81,001",538011369,9711937,11.00,"8,880"
Bulk Carrier,2016,Repairs,Blue Planet Shipping,Blue Planet Shipping,,Jiangsu New YZJ,Marshall Is.,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Evmar,"44,127","82,039",538006108,9738026,12.00,"9,801"
Bulk Carrier,2014,In Service,Oldendorff Carriers,Oldendorff Carriers,Oldendorff Carriers,Hyundai HI (Gunsan),Madeira,Fitted,Diesel 2-Stroke,East Asia,,Linda Oldendorff,"107,413","207,562",255805609,9691929,12.00,"16,200"
Bulk Carrier,2019,In Service,Lavinia Bulk,Laskaridis Shipping,Lavinia Bulk,Nantong COSCO KHI,Liberia,Fitted,Diesel 2-Stroke,West Coast North America,,Philippos,"34,641","61,606",636022832,9839820,13.80,"8,130"
Bulk Carrier,2005,In Service,Navitas Cia. Mar.,Navitas Cia. Mar.,Navitas Cia. Mar.,Shanghai Waigaoqiao,Marshall Is.,Fitted,Diesel 2-Stroke,South East Asia,,Keeper,"88,955","174,674",538007254,9313395,15.00,"16,616"
Tanker,2011,In Service,Cardiff Marine,Cardiff Marine,Cardiff Marine,SCS Shipbuilding,Malta,Fitted,Diesel 2-Stroke,East Coast Africa,,Desimi,"156,651","296,790",215618000,9395305,15.30,"25,480"
Bulk Carrier,2011,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Sinopacific Dayang,Liberia,Fitted,Diesel 2-Stroke,West Coast South America,,Star Nighthawk,"33,045","57,809",636024306,9441362,14.30,"9,473"
Fully Cellular Container,2005,In Service,RCL,RCL,RCL,MHI Nagasaki,Thailand,Fitted,Diesel 2-Stroke,Middle East,United Arab Emirates,Vira Bhum,"23,922","31,805",567304000,9293246,15.50,"20,283"
Tanker,2009,In Service,Fasafe Shipping,Fasafe Shipping,Fasafe Shipping,Samsung HI,Panama,Fitted,Diesel 2-Stroke,Middle East,Egypt,Heng Tai,"61,348","115,873",352003963,9419448,15.00,"13,548"
Bulk Carrier,2019,In Service,Foremost Maritime,Foremost Maritime,Foremost Maritime,Shanghai Waigaoqiao,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Xin May,"94,528","180,667",636018484,9837315,14.50,"15,748"
Fully Cellular Container,2004,In Service,Jan Breuer,Jan Breuer,Borchard Lines,J. J. Sietas,Antigua & B.,Fitted,Diesel 4-Stroke,United Kingdom/Continent,United Kingdom,Katherine Borchard,"9,961","11,200",304623000,9246530,16.50,"7,950"
Bulk Carrier,2011,In Service,Huayang Maritime,Huayang Maritime,,Shanghai Shipyard,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Marine Honor,"61,504","114,078",636021648,9455545,14.70,"15,810"
Ro-Ro Freight/Passenger,2000,In Service,Finnlines Plc,Grimaldi Group,Finnlines Plc,A.E.S.A.,Sweden,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Denmark,Finnfellow,"33,724","7,885",265042000,9145164,22.00,"24,000"
Cruise Ship,2005,In Service,Carnival Cruise Line,Carnival Corporation,Carnival Cruise Line,Fincantieri Monfalco,Panama,Fitted,Diesel Electric,East Coast North America,Belize,Carnival Liberty,"110,320","13,294",371083000,9278181,23.00,"75,600"
Tanker,2011,In Service,Advantage Tankers,Advantage Tankers,Advantage Tankers,Samsung HI,Marshall Is.,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Germany,Advantage Atom,"61,342","115,934",538006198,9472622,15.00,"13,560"
Fully Cellular Container,2013,In Service,PIL,PIL,PIL,Hyundai Samho HI,Singapore,Fitted,Diesel 2-Stroke,East Coast Africa,,Kota Megah,"37,199","45,349",566864000,9632765,24.10,"22,890"
Bulk Carrier,2015,In Service,Oldendorff Carriers,Oldendorff Carriers,Oldendorff Carriers,CSC Jinling Shipyard,Madeira,Fitted,Diesel 2-Stroke,West Coast Africa,,Gretke Oldendorff,"44,218","80,446",255805621,9681962,15.00,"9,930"
